COMM_NAME,COMM_CODE,COMM_WT,INDEX2011,INDEX20112012,INDEX2012,INDEX20122013,INDEX2013,INDEX20132014,INDEX2014,INDEX20142015,INDEX2015,INDEX20152016,INDEX2016,INDEX20162017,INDEX2017,INDEX20172018,INDEX2018,INDEX20182019,INDEX2019,INDEX20192020,INDEX2020,INDEX20202021,INDEX2021,INDEX20212022,INDEX2022,INDEX20222023
Maize,1101010105,0.18927,NA,NA,NA,116.0,123.8,123.1,118.5,118.5,121.7,125.5,137.0,137.0,129.2,124.7,123.3,133.2,172.6,175.4,151.3,143.3,145.4,152.1,179.8,187.2
"Ginger (Fresh)",1101020105,0.02124,NA,NA,NA,121.4,251.3,280.2,285.0,266.2,201.1,184.8,148.7,141.9,128.7,131.0,183.5,215.9,317.6,310.6,218.0,191.3,138.8,138.5,146.2,167.2
Cabbage,1101020111,0.12251,NA,NA,NA,133.1,167.9,169.6,142.3,157.4,157.0,150.4,159.9,149.9,198.2,206.7,136.4,135.6,166.4,165.8,147.7,139.1,129.5,161.8,209.2,182.4
Litchi,1101020211,0.02955,NA,NA,NA,141.2,138.5,138.5,164.7,164.7,169.8,169.8,186.2,186.2,163.4,163.4,129.8,129.8,131.7,131.7,127.5,127.5,126.7,126.7,218.2,218.2
Lemon,1101020212,0.06575,NA,NA,NA,119.7,106.3,110.9,138.1,141.0,127.3,130.7,143.4,127.8,97.1,102.4,128.9,134.3,150.4,138.0,88.1,103.1,122.1,115.0,143.6,149.8
Fish-Marine,1101040003,0.42182,NA,NA,NA,114.6,118.7,120.5,124.0,125.7,129.5,130.6,121.3,117.9,121.4,122.4,130.6,134.1,142.8,148.3,151.3,148.7,157.8,161.3,174.6,178.1
Mutton,1101040004,0.44094,NA,NA,NA,109.7,118.4,120.8,126.4,129.1,134.9,134.9,134.3,133.9,132.0,131.9,131.9,131.0,129.6,132.0,148.6,156.9,172.1,172.6,178.0,181.8
Pork,1101040007,0.06051,NA,NA,NA,107.0,111.9,115.4,124.8,124.6,120.8,123.4,132.4,133.6,136.9,136.9,138.6,141.7,162.1,167.8,180.9,185.5,199.2,197.3,189.8,194.8
"e.  CONDIMENTS & SPICES",1101050000,0.52885,NA,NA,NA,87.1,98.4,102.7,116.5,120.8,134.9,138.9,142.4,140.5,126.5,125.2,130.3,129.6,137.9,143.9,149.4,149.5,155.0,159.8,181.5,187.2
"Chillies (Dry)",1101050002,0.14056,NA,NA,NA,83.6,90.9,94.4,105.7,109.0,123.8,130.4,140.6,135.7,111.1,111.6,128.4,126.7,131.4,143.2,158.8,157.9,158.8,166.3,221.0,233.4
Cardamom,1101050004,0.01434,NA,NA,NA,109.7,102.5,102.1,114.6,121.8,126.1,122.3,130.6,139.3,136.1,129.4,127.5,129.6,169.8,184.6,165.7,152.1,130.2,125.0,114.3,117.2
Betelnut/Arecanut,1101050006,0.08487,NA,NA,NA,103.9,108.2,111.0,137.7,149.2,173.1,177.4,171.1,166.7,165.0,169.5,185.8,187.7,191.9,192.9,208.5,218.4,251.7,260.5,270.1,269.2
Cumin,1101050007,0.06256,NA,NA,NA,102.5,101.8,101.0,92.9,91.6,105.8,108.1,118.0,124.0,131.6,132.3,128.3,126.6,121.8,120.0,109.5,106.3,100.8,105.3,147.8,168.4
Tamarind,1101050010,0.00964,NA,NA,NA,75.3,88.2,92.5,100.5,105.1,104.7,100.7,120.7,125.6,136.6,154.9,186.6,181.5,160.6,161.2,170.0,170.5,153.8,145.4,139.8,135.0
Tea,1101060001,0.12359,NA,NA,NA,132.3,135.4,130.8,120.0,117.6,116.2,120.9,137.8,140.1,133.5,130.5,138.0,140.9,139.5,134.1,172.7,188.2,169.4,162.0,164.0,167.6
"(B).  NON-FOOD ARTICLES",1102000000,4.11894,NA,NA,NA,113.3,118.5,118.4,116.2,115.1,116.7,118.2,121.3,122.2,120.1,119.6,122.4,123.1,127.2,128.7,128.3,130.5,150.1,158.1,172.1,172.1
"Raw Jute",1102010002,0.05453,NA,NA,NA,110.3,118.8,120.9,129.0,132.5,161.1,181.5,216.0,208.0,166.9,160.4,172.7,181.9,198.4,200.7,221.1,235.3,281.0,287.1,279.2,270.7
"Coir Fibre",1102010006,0.01555,NA,NA,NA,108.3,121.1,124.4,129.8,129.2,125.4,122.5,116.5,116.1,114.3,114.9,120.8,122.8,120.8,118.9,119.3,121.9,124.6,121.5,115.3,114.6
"Rape & Mustard Seed",1102020002,0.24914,NA,NA,NA,131.1,121.9,119.1,120.7,122.7,142.6,145.9,149.0,149.4,135.4,134.1,140.8,142.2,143.1,145.1,157.2,163.7,200.9,210.5,206.0,198.8
"Lead Concentrate",1103010007,0.00369,NA,NA,NA,106.2,116.0,119.5,143.7,153.2,164.1,161.9,149.0,147.4,167.0,172.4,185.0,187.4,197.3,204.0,185.3,180.7,229.6,243.7,254.2,252.8
Phosphorite,1103020001,0.11352,NA,NA,NA,145.6,148.1,146.3,130.7,133.4,147.3,148.4,154.9,150.3,136.2,135.5,141.9,144.5,147.2,151.2,161.9,162.0,187.5,200.6,239.6,254.1
Limestone,1103020002,0.06947,NA,NA,NA,130.7,145.1,149.1,153.4,153.6,160.7,164.4,180.6,188.2,214.7,224.4,245.5,246.3,226.0,222.8,216.1,215.8,226.1,226.3,228.8,229.8
"Natural Gas",1104000002,0.46423,NA,NA,NA,113.8,123.0,126.8,132.1,138.5,147.3,142.6,119.8,112.3,105.1,106.4,121.2,126.2,134.2,134.5,114.7,105.6,104.9,110.1,186.4,221.9
Petrol,1202000002,1.6047,NA,NA,NA,114.9,122.2,124.6,122.1,108.6,79.4,75.7,66.7,72.4,79.8,80.3,88.7,88.4,85.4,85.6,74.2,75.5,109.9,123.0,159.8,164.1
"Petroleum Coke",1202000010,0.04663,NA,NA,NA,99.4,94.0,92.8,95.1,94.3,85.7,78.3,83.5,93.0,110.5,117.2,144.6,149.7,138.2,128.6,120.1,132.4,200.2,220.1,284.9,293.6
Electricity,1203000001,3.06409,NA,NA,NA,100.5,102.4,103.6,105.1,105.7,106.3,105.3,103.7,104.2,103.8,103.7,108.7,109.6,110.0,111.8,109.8,109.6,113.7,117.4,137.6,143.3
"Other meats, preserved/processed",1301010003,0.01934,NA,NA,NA,110.2,117.1,119.5,124.2,126.6,130.9,131.4,132.2,134.6,141.0,141.1,144.5,148.1,155.6,156.1,151.3,149.5,155.5,158.1,167.2,171.8
"c. Processing and preserving of fruit and vegetables",1301030000,0.13809,NA,NA,NA,104.0,106.5,107.5,110.9,112.0,115.4,116.9,120.2,120.2,119.4,119.1,115.7,114.3,113.7,114.3,118.5,120.2,122.1,122.3,124.6,125.8
"Soyabean Oil",1301040003,0.34251,NA,NA,NA,110.9,108.2,107.2,103.9,102.7,98.8,98.5,102.9,104.5,104.9,106.1,112.0,112.3,112.5,114.4,123.9,132.7,173.4,179.8,183.6,178.7
"Sunflower Oil",1301040004,0.23133,NA,NA,NA,105.6,108.4,106.6,96.8,95.4,99.4,101.3,104.4,105.0,103.1,103.4,109.0,109.9,111.2,112.2,123.5,134.5,161.1,161.8,169.2,166.0
"e. Manufacture of dairy products",1301050000,1.16545,NA,NA,NA,103.3,108.6,112.7,122.9,123.7,123.3,123.6,128.6,132.3,141.7,142.1,137.5,136.2,140.7,145.0,148.0,146.9,148.1,149.4,161.6,167.0
"Powder Milk",1301050005,0.16715,NA,NA,NA,103.5,112.5,118.4,130.4,131.4,125.4,121.2,114.0,116.8,127.1,125.5,112.9,112.6,133.3,142.3,146.0,143.4,141.9,142.7,158.0,163.7
"Rice, Non-basmati",1301060007,0.94347,NA,NA,NA,112.0,125.5,127.5,130.6,131.2,128.7,129.2,139.5,143.5,149.6,151.0,150.6,150.2,153.6,154.6,155.2,154.4,152.1,152.6,161.2,165.9
"h. Manufacture of bakery products",1301080000,0.21459,NA,NA,NA,107.3,112.9,114.3,118.7,120.3,122.8,123.6,126.1,127.0,128.8,128.8,128.7,129.3,132.2,133.5,137.4,138.1,143.1,146.2,159.3,163.0
Sugar,1301090001,1.05553,NA,NA,NA,111.7,109.4,107.0,106.7,105.6,93.9,95.2,116.3,122.6,129.6,126.8,114.3,113.2,116.6,117.6,117.7,117.3,119.8,121.6,124.3,124.8
Molasses,1301090002,0.04486,NA,NA,NA,116.6,130.2,133.4,146.3,145.0,134.2,137.2,157.7,166.2,163.0,135.2,40.9,30.9,79.2,102.6,117.8,116.4,124.8,130.0,139.8,140.8
"Chocolate & cocoa powder",1301100001,0.09685,NA,NA,NA,105.0,109.7,112.1,118.4,120.2,122.9,122.9,128.7,129.4,127.1,127.5,129.4,129.9,128.4,127.3,125.8,126.2,129.8,132.2,137.8,138.9
"m. Manufacture of Processed condiments & salt",1301130000,0.16302,NA,NA,NA,96.8,104.6,106.6,112.4,114.6,119.8,121.6,125.6,124.5,117.9,118.2,121.3,122.2,129.0,132.4,144.3,147.0,153.8,157.5,172.4,176.5
"Instant Food/Prepared meals based on vegetables",1301140001,0.02428,NA,NA,NA,105.4,107.5,108.5,114.9,116.7,120.7,123.0,126.6,126.3,126.7,127.2,126.7,127.0,128.2,128.7,131.1,132.2,136.1,137.0,140.4,141.2
"o. Manufacture of Health supplements",1301150000,0.225,NA,NA,NA,106.5,117.5,121.4,126.0,127.2,132.0,135.7,143.0,143.2,142.2,141.1,139.8,143.6,159.0,159.9,147.4,142.9,147.9,153.5,174.7,179.4
"p. Manufacture of prepared animal feeds",1301160000,0.3563,NA,NA,NA,125.7,136.3,138.3,139.3,139.1,147.0,152.9,165.3,165.4,155.1,153.0,155.3,157.5,171.2,173.6,169.2,170.5,193.7,200.9,208.0,208.8
"Country liquor",1302020002,0.0625,NA,NA,NA,103.4,106.8,108.0,112.5,114.1,109.7,106.9,105.2,105.5,106.0,106.3,107.1,108.6,115.7,117.8,120.2,120.9,125.8,127.7,131.9,133.3
"(D). MANUFACTURE OF TEXTILES",1304000000,4.88068,NA,NA,NA,104.0,109.8,111.8,113.7,112.7,109.4,109.1,110.3,111.2,113.0,113.4,116.7,117.9,118.3,117.7,115.5,117.6,130.9,135.2,144.0,142.7
"b. Weaving & Finishing of textiles",1304020000,1.50903,NA,NA,NA,103.6,108.2,109.8,113.7,114.3,116.0,117.3,120.7,120.9,121.3,122.0,125.6,127.3,129.8,130.1,130.1,131.7,143.0,146.8,157.1,158.9
"Synthetic Fabric  Others",1304020003,0.05493,NA,NA,NA,103.3,105.9,106.8,108.5,108.1,107.7,108.3,108.7,109.2,110.3,110.4,112.5,112.6,111.6,111.3,106.2,106.0,114.1,118.2,129.5,130.0
"Knitted fabrics of cotton",1304030001,0.17714,NA,NA,NA,106.0,111.5,112.6,113.0,111.8,106.1,104.9,105.4,106.2,107.5,107.9,111.9,112.5,113.8,114.5,114.3,114.9,121.6,124.7,130.7,129.3
Blankets,1304040002,0.00895,NA,NA,NA,98.0,100.2,100.9,99.0,99.4,97.9,95.3,90.5,91.1,92.6,91.7,91.7,92.8,91.5,90.3,85.7,84.7,86.3,87.3,89.5,89.3
"Cotton Towel",1304040005,0.09734,NA,NA,NA,108.2,109.5,111.0,115.8,117.6,122.7,122.4,126.1,127.8,129.4,129.8,136.8,142.9,153.0,150.8,141.6,140.7,145.9,149.3,163.3,165.5
Curtains,1304040007,0.01942,NA,NA,NA,110.6,108.9,110.5,118.0,119.0,117.9,121.7,135.0,135.6,139.8,140.6,142.0,143.0,144.1,144.3,146.1,146.4,148.4,149.9,153.4,153.5
"e. Manufacture of cordage, rope, twine and netting",1304050000,0.09776,NA,NA,NA,108.3,115.3,118.3,126.6,129.5,139.2,141.7,143.0,143.0,143.3,141.7,138.8,138.7,140.8,143.1,151.2,155.6,168.2,168.5,161.3,156.8
"a. Manufacture of wearing apparel (woven), except fur apparel",1305010000,0.59324,NA,NA,NA,115.3,117.9,119.9,124.9,125.5,131.2,133.3,133.1,133.9,137.1,137.8,139.3,139.4,139.2,139.2,138.1,138.1,140.9,142.0,146.2,147.3
"Trouser/pants made of cotton and/or man-made fibre",1305010002,0.01377,NA,NA,NA,102.0,103.5,105.6,114.2,115.9,119.2,120.2,121.8,122.7,125.0,125.8,127.0,128.1,130.5,130.1,128.5,127.6,127.6,129.2,137.0,139.6
"Leather garments incl. Jackets",1305010004,0.0946,NA,NA,NA,106.8,112.3,114.8,118.3,119.5,122.6,124.6,126.1,125.8,125.1,124.7,124.2,123.3,117.6,117.2,114.2,112.1,110.0,110.5,110.6,110.4
"b. Manufacture of knitted and crocheted apparel",1305020000,0.2209,NA,NA,NA,103.8,108.8,111.8,114.9,115.0,116.1,116.5,120.7,123.3,131.6,134.5,137.5,137.0,135.9,135.9,138.3,139.8,144.3,145.8,151.0,152.2
"Hosiery goods, others cotton",1305020004,0.03878,NA,NA,NA,103.4,106.4,107.6,111.7,113.0,114.1,114.4,115.4,115.5,116.2,117.3,117.6,116.5,114.4,114.2,112.4,112.5,115.5,117.3,123.7,124.1
"c. Manufacture of footwear",1306030000,0.31785,NA,NA,NA,104.4,108.9,110.6,114.9,115.4,116.1,117.6,121.6,121.5,120.7,121.6,123.3,123.5,121.4,120.3,120.1,120.6,120.9,121.0,124.3,125.2
"Athletic/sport shoes",1306030002,0.01651,NA,NA,NA,102.5,109.0,110.6,113.4,114.2,115.6,115.3,112.9,113.0,114.9,115.3,115.3,115.1,111.5,110.4,110.3,110.6,107.1,104.5,102.6,103.4
"Canvas shoes",1306030003,0.01281,NA,NA,NA,106.3,112.6,114.8,115.9,116.1,117.7,118.2,120.7,121.5,125.2,126.7,129.9,131.0,132.0,132.8,136.8,138.4,141.1,141.0,141.6,142.0
"Plastic/PVC Chappals",1306030004,0.06382,NA,NA,NA,105.8,105.5,105.7,110.7,112.3,113.8,114.1,114.8,114.7,115.7,116.1,116.1,116.2,117.1,117.5,120.0,122.4,134.5,137.7,138.6,137.4
"a. Saw milling and planing of wood",1307010000,0.12417,NA,NA,NA,110.6,114.4,115.3,117.9,119.5,119.9,119.9,122.8,122.9,121.0,120.5,123.0,124.5,123.7,122.2,120.2,120.7,126.2,128.8,136.2,137.6
"Lamination wooden sheets/Veneer sheets",1307020003,0.18314,NA,NA,NA,115.1,123.4,125.2,130.8,132.5,143.6,147.3,147.8,147.4,151.7,154.8,163.5,165.7,163.7,162.3,162.5,163.3,167.3,168.7,161.5,157.7
